h,RMSE_LOO
0.001,2.7722674626935233
0.0012067926406393288,2.697443699500477
0.0014563484775012444,2.4996221534005256
0.0017575106248547913,2.4459102434134756
0.0021209508879201904,2.3580953343984534
0.002559547922699536,2.1999074402917196
0.0030888435964774815,2.1130218009854316
0.003727593720314938,1.7783966983411816
0.004498432668969444,1.7229098388231199
0.005428675439323859,1.3194679560121065
0.006551285568595509,1.1248156716438131
0.0079060432109077,1.092336815921985
0.009540954763499945,1.0888271309940647
0.01151395399326447,0.9352786106877902
0.013894954943731374,0.8738140043695182
0.016768329368110076,0.8595489987519566
0.020235896477251564,0.8450642337252018
0.02442053094548651,0.7600642451148484
0.029470517025518096,0.64783430449407
0.03556480306223128,0.6236909436616181
0.04291934260128776,0.6017911607683561
0.0517947467923121,0.5839532153618773
0.0625055192527397,0.5709151270504981
0.07543120063354615,0.5621407570155589
0.09102981779915217,0.5560196093959149
0.10985411419875583,0.5510668304128538
0.13257113655901082,0.5480601292070707
0.15998587196060574,0.5519650789384775
0.19306977288832497,0.569162400254168
0.2329951810515372,0.5991904659592187
0.2811768697974228,0.6339793923498196
0.3393221771895326,0.6661083731277968
0.4094915062380423,0.693969612442464
0.49417133613238334,0.7212769152062277
0.5963623316594643,0.7518963785248626
0.7196856730011514,0.7838186374358427
0.868511373751352,0.8099797489540815
1.0481131341546852,0.8253665809775002
1.2648552168552958,0.8315722382646337
1.5264179671752318,0.833692563948013
1.8420699693267144,0.8349913783806486
2.2229964825261934,0.8363318984712663
2.6826957952797246,0.8376644106471611
3.2374575428176433,0.8388382532386824
3.906939937054613,0.8397858830584681
4.714866363457389,0.8405091692792496
5.689866029018293,0.8410417868005738
6.866488450042998,0.8414249981162298
8.286427728546842,0.8416965386020864
10.0,0.8418870068160186
