h,RMSE_LOO
0.001,2.250672898580876
0.0012067926406393288,2.1988128352136065
0.0014563484775012444,2.0673783071790637
0.0017575106248547913,2.0381062681819992
0.0021209508879201904,1.9684535558308363
0.002559547922699536,1.846605682377914
0.0030888435964774815,1.780468671438639
0.003727593720314938,1.4483564819416932
0.004498432668969444,1.3808799505230873
0.005428675439323859,1.0489643333743557
0.006551285568595509,0.8983069850817151
0.0079060432109077,0.8644325020880517
0.009540954763499945,0.8591338952530261
0.01151395399326447,0.7924637828493731
0.013894954943731374,0.7468804547042455
0.016768329368110076,0.7364393511749916
0.020235896477251564,0.7269319685689667
0.02442053094548651,0.6453990107261538
0.029470517025518096,0.5184861664437863
0.03556480306223128,0.5096542780148845
0.04291934260128776,0.4984551344766871
0.0517947467923121,0.4862045454012937
0.0625055192527397,0.4754152902945129
0.07543120063354615,0.4678779717877414
0.09102981779915217,0.4635042561765607
0.10985411419875583,0.4609596881085864
0.13257113655901082,0.4611262899845061
0.15998587196060574,0.4705556419832393
0.19306977288832497,0.4975226195805098
0.2329951810515372,0.5414756449793848
0.2811768697974228,0.591852651965012
0.3393221771895326,0.63897306945153
0.4094915062380423,0.681392550848256
0.49417133613238334,0.7238830842824268
0.5963623316594643,0.7697205613491862
0.7196856730011514,0.8153946672017327
0.868511373751352,0.8530183204544292
1.0481131341546852,0.8767900288480458
1.2648552168552958,0.8883933362547956
1.5264179671752318,0.894301759781191
1.8420699693267144,0.8987788180416648
2.2229964825261934,0.9029080413486603
2.6826957952797246,0.9065825544976414
3.2374575428176433,0.9096158430485256
3.906939937054613,0.9119749032727495
4.714866363457389,0.9137358495060316
5.689866029018293,0.9150148127617284
6.866488450042998,0.9159269280460374
8.286427728546842,0.9165695308237061
10.0,0.917018554622675
