h,RMSE_LOO
0.001,2888.68218081605
0.0012067926406393288,2888.68218081605
0.0014563484775012444,2888.68218081605
0.0017575106248547913,2888.68218081605
0.0021209508879201904,2888.68218081605
0.002559547922699536,2888.68218081605
0.0030888435964774815,2888.6821807909523
0.003727593720314938,2888.5657023924996
0.004498432668969444,2867.0895800692597
0.005428675439323859,2867.1397570743143
0.006551285568595509,2867.1397954426866
0.0079060432109077,2867.139795701899
0.009540954763499945,2867.1397957098798
0.01151395399326447,2867.139795710553
0.013894954943731374,2867.13944976252
0.016768329368110076,2840.101812822058
0.020235896477251564,2786.2353699862174
0.02442053094548651,2688.0593434051007
0.029470517025518096,2672.6770484235894
0.03556480306223128,2661.970535841704
0.04291934260128776,2544.140949625234
0.0517947467923121,2533.923409126443
0.0625055192527397,2338.629645868942
0.07543120063354615,2316.3823199184108
0.09102981779915217,2408.3606360168105
0.10985411419875583,2364.8320484053834
0.13257113655901082,2319.5876551930955
0.15998587196060574,2261.4810442016474
0.19306977288832497,2171.18407914442
0.2329951810515372,2076.925895789286
0.2811768697974228,1986.6310594165388
0.3393221771895326,1902.812529493681
0.4094915062380423,1822.5664143474305
0.49417133613238334,1740.849949635454
0.5963623316594643,1653.5683348446685
0.7196856730011514,1576.0458966896745
0.868511373751352,1529.5097641219502
1.0481131341546852,1516.9489596779367
1.2648552168552958,1532.9931982501284
1.5264179671752318,1567.528617840117
1.8420699693267144,1608.5294495766193
2.2229964825261934,1647.8549684022905
2.6826957952797246,1681.6663454307563
3.2374575428176433,1708.71326761829
3.906939937054613,1729.2709262738326
4.714866363457389,1744.3601962827843
5.689866029018293,1755.1839300722334
6.866488450042998,1762.832981710404
8.286427728546842,1768.1864545269175
10.0,1771.9096653055133
