h,RMSE_LOO
0.001,254.06955177807058
0.0012067926406393288,254.06955177807058
0.0014563484775012444,254.06955177807058
0.0017575106248547913,254.06955177807058
0.0021209508879201904,254.06955177807058
0.002559547922699536,254.06955177807058
0.0030888435964774815,254.06955177343195
0.003727593720314938,254.04803259018834
0.004498432668969444,251.63509414670938
0.005428675439323859,251.67841630032137
0.006551285568595509,251.67844807200427
0.0079060432109077,251.67844828664403
0.009540954763499945,251.67844829325227
0.01151395399326447,251.6784482938129
0.013894954943731374,251.6784020551546
0.016768329368110076,247.88751108064827
0.020235896477251564,238.08346593716166
0.02442053094548651,229.32944251421532
0.029470517025518096,223.64742988615635
0.03556480306223128,214.9810354024273
0.04291934260128776,199.81964793952358
0.0517947467923121,196.68104663472124
0.0625055192527397,180.29412938126256
0.07543120063354615,148.97780966503595
0.09102981779915217,143.16988164433158
0.10985411419875583,137.35535000946774
0.13257113655901082,130.8664506382856
0.15998587196060574,125.28221005992418
0.19306977288832497,117.92715788354309
0.2329951810515372,112.02268721110347
0.2811768697974228,107.06544092930447
0.3393221771895326,103.10572229093779
0.4094915062380423,100.25203629871595
0.49417133613238334,98.5286132171347
0.5963623316594643,97.79758637151241
0.7196856730011514,98.00916376676726
0.868511373751352,98.99539146092988
1.0481131341546852,100.43777249917918
1.2648552168552958,102.039061698687
1.5264179671752318,103.64066727540998
1.8420699693267144,105.22275320403593
2.2229964825261934,106.77915566527402
2.6826957952797246,108.22937270271002
3.2374575428176433,109.4775832510134
3.906939937054613,110.47966937230237
4.714866363457389,111.24444437174098
5.689866029018293,111.80829474939375
6.866488450042998,112.21449492291788
8.286427728546842,112.50262256998873
10.0,112.7048806414925
