h,RMSE_LOO
0.001,1016.2782071122823
0.0012067926406393288,1016.2782071122823
0.0014563484775012444,1016.2782071122823
0.0017575106248547913,1016.2782071122823
0.0021209508879201904,1016.2782071122823
0.002559547922699536,1016.2782071122823
0.0030888435964774815,1016.2782070937278
0.003727593720314938,1016.1921303607534
0.004498432668969444,1006.5403765868375
0.005428675439323859,1006.7136652012855
0.006551285568595509,1006.7137922880171
0.0079060432109077,1006.7137931465761
0.009540954763499945,1006.7137931730091
0.01151395399326447,1006.7137931752516
0.013894954943731374,1006.7136082206183
0.016768329368110076,991.5500443225931
0.020235896477251564,952.3338637486466
0.02442053094548651,917.3177700568613
0.029470517025518096,894.5897195446254
0.03556480306223128,859.9241416097092
0.04291934260128776,799.2785917580944
0.0517947467923121,786.724186538885
0.0625055192527397,721.1765175250503
0.07543120063354615,595.9112386601438
0.09102981779915217,572.6795265773263
0.10985411419875583,549.421400037871
0.13257113655901082,523.4658025531425
0.15998587196060574,501.12884023969673
0.19306977288832497,471.70863153417235
0.2329951810515372,448.09074884441395
0.2811768697974228,428.2617637172179
0.3393221771895326,412.42288916375117
0.4094915062380423,401.0081451948638
0.49417133613238334,394.1144528685388
0.5963623316594643,391.1903454860497
0.7196856730011514,392.036655067069
0.868511373751352,395.9815658437195
1.0481131341546852,401.7510899967167
1.2648552168552958,408.156246794748
1.5264179671752318,414.5626691016399
1.8420699693267144,420.89101281614364
2.2229964825261934,427.1166226610961
2.6826957952797246,432.9174908108401
3.2374575428176433,437.9103330040535
3.906939937054613,441.9186774892095
4.714866363457389,444.97777748696393
5.689866029018293,447.23317899757495
6.866488450042998,448.8579796916715
8.286427728546842,450.0104902799549
10.0,450.81952256597
